work_orders,section_names,status,working_hours,priority
FA2303130495,EP,1,1.5,758
FA2302120004,M,1,2.0,759
FA2302190042,M,1,2.0,760
FA2302190043,M,1,1.8,761
FA2302190044,M,1,2.5,762
FA2302190046,M,1,1.8,763
FA2302190050,M,1,3.0,764
FA2302190051,M,1,3.0,765
FA2302190052,M,1,3.0,766
FA2302190057,M,1,3.0,767
FA2302190058,M,1,2.5,768
FA2302190060,M,1,2.2,769
FA2302190061,M,1,2.2,770
FA2302190062,M,1,2.5,771
FA2302190063,M,1,3.0,772
FA2302190066,M,1,1.8,773
FA2302190075,M,1,1.8,774
FA2302190077,M,1,1.8,775
FA2302190078,M,1,1.5,776
FA2302190081,M,1,1.5,777
FA2302190082,M,1,1.5,778
FA2302190089,M,1,4.0,779
FA2302190092,M,1,4.0,780
FA2302190093,M,1,3.0,781
FA2302220102,M,1,1.5,782
FA2302220104,M,1,1.5,783
